# Region       : all 
# Cells        : 31280
# Volume       : 3.20955384e+00
# Time         	volIntegrate(alpha.water)
0.42           	6.64599846e-01
0.42046512     	6.64599846e-01
0.42097919     	6.64599846e-01
0.42149327     	6.64599846e-01
0.42199345     	6.64599845e-01
0.42249363     	6.64599845e-01
0.42297992     	6.64599845e-01
0.42346621     	6.64599845e-01
0.4239525      	6.64599845e-01
0.42442448     	6.64599845e-01
0.42489647     	6.64599844e-01
0.42536845     	6.64599844e-01
0.42582569     	6.64599844e-01
0.42628292     	6.64599844e-01
0.42674016     	6.64599844e-01
0.4271974      	6.64599844e-01
0.42763886     	6.64599844e-01
0.42808033     	6.64599843e-01
0.4285218      	6.64599843e-01
0.42896327     	6.64599843e-01
0.42940474     	6.64599843e-01
0.42984621     	6.64599843e-01
0.43028768     	6.64599843e-01
0.43072915     	6.64599842e-01
0.43117062     	6.64599842e-01
0.43161209     	6.64599842e-01
0.43205356     	6.64599842e-01
0.43249503     	6.64599841e-01
0.43293649     	6.64599841e-01
0.43337796     	6.64599841e-01
0.43381943     	6.64599840e-01
0.4342609      	6.64599840e-01
0.43467084     	6.64599840e-01
0.43508077     	6.64599839e-01
0.43549071     	6.64599839e-01
0.43590064     	6.64599838e-01
0.43631058     	6.64599838e-01
0.43672052     	6.64599837e-01
0.43713045     	6.64599837e-01
0.43754039     	6.64599836e-01
0.43795032     	6.64599835e-01
0.43836026     	6.64599834e-01
0.43877019     	6.64599833e-01
0.43918013     	6.64599832e-01
0.43959006     	6.64599830e-01
0.44           	6.64599828e-01
0.44042553     	6.64599826e-01
0.44084201     	6.64599824e-01
0.44126774     	6.64599821e-01
0.44169348     	6.64599818e-01
0.44211921     	6.64599815e-01
0.44254494     	6.64599812e-01
0.44298132     	6.64599808e-01
0.4434177      	6.64599805e-01
0.44385407     	6.64599802e-01
0.44429045     	6.64599798e-01
0.44473929     	6.64599795e-01
0.44518814     	6.64599791e-01
0.44563698     	6.64599787e-01
0.44608583     	6.64599783e-01
0.44653467     	6.64599779e-01
0.44696904     	6.64599775e-01
0.4474034      	6.64599771e-01
