# y+ ()        
# Time         	patch          	min            	max            	average        
0.24           	stlSurface	1.93990248e+01	7.07095468e+01	3.40813470e+01
0.24           	back	1.82230623e+02	3.62108668e+03	8.30002399e+02
0.24           	bottom	2.15680362e+01	4.49171255e+03	1.57225774e+03
0.24           	top	0.00000000e+00	2.41991341e+02	4.39394130e+01
0.24           	front	1.82229162e+02	3.62083606e+03	8.29999524e+02
0.26           	left	1.76835808e+02	1.91096811e+02	1.88151730e+02
0.26           	right	1.82100950e+02	2.82192499e+03	1.61406966e+03
0.26           	stlSurface	1.84006289e+01	7.13213214e+01	3.37209954e+01
0.26           	back	1.76706386e+02	3.65873941e+03	8.15852494e+02
0.26           	bottom	2.04580093e+01	4.57938166e+03	1.62064375e+03
0.26           	top	0.00000000e+00	2.35197567e+02	4.26411369e+01
0.26           	front	1.76704908e+02	3.65822012e+03	8.15849472e+02
0.28           	left	1.71638173e+02	1.87069990e+02	1.83900608e+02
0.28           	right	1.77307555e+02	2.75864688e+03	1.57528710e+03
0.28           	stlSurface	1.75102763e+01	7.23642751e+01	3.35211166e+01
0.28           	back	1.71512679e+02	3.73311452e+03	8.04151566e+02
0.28           	bottom	1.94681062e+01	4.65445533e+03	1.66730587e+03
0.28           	top	0.00000000e+00	2.29714865e+02	4.12180733e+01
0.28           	front	1.71511121e+02	3.73287218e+03	8.04148322e+02
0.3            	left	1.66743415e+02	1.83342286e+02	1.79949768e+02
0.3            	right	1.72840021e+02	2.69928694e+03	1.53883068e+03
0.3            	stlSurface	1.67114184e+01	7.40194326e+01	3.35137832e+01
0.3            	back	1.66621634e+02	3.81684462e+03	7.96233942e+02
0.3            	bottom	1.85799276e+01	4.72160363e+03	1.75113396e+03
0.3            	top	0.00000000e+00	2.54679843e+02	4.24341136e+01
0.3            	front	1.66619986e+02	3.81648650e+03	7.96229854e+02
0.32           	left	1.62124807e+02	1.79892047e+02	1.76276058e+02
0.32           	right	1.68671935e+02	2.64340952e+03	1.50443526e+03
0.32           	stlSurface	1.59906522e+01	7.65311634e+01	3.37428241e+01
0.32           	back	1.62006532e+02	3.88136100e+03	7.85288313e+02
0.32           	bottom	1.77785723e+01	4.80488682e+03	1.81051128e+03
0.32           	top	0.00000000e+00	2.42487091e+02	4.20325262e+01
0.32           	front	1.62004797e+02	3.88090322e+03	7.85284025e+02
0.34           	left	1.57761317e+02	1.76703348e+02	1.72861181e+02
0.34           	right	1.64782557e+02	2.59066245e+03	1.47186294e+03
0.34           	stlSurface	1.53376405e+01	8.02381085e+01	3.42792679e+01
0.34           	back	1.57646383e+02	3.95084044e+03	7.78293778e+02
0.34           	bottom	1.70525472e+01	4.89327681e+03	1.86301482e+03
0.34           	top	0.00000000e+00	2.33293177e+02	4.03557691e+01
0.34           	front	1.57644537e+02	3.95048828e+03	7.78289448e+02
0.36           	left	1.53633316e+02	1.73752750e+02	1.69687055e+02
0.36           	right	1.61153139e+02	2.54075652e+03	1.44084164e+03
0.36           	stlSurface	1.47429913e+01	8.58566245e+01	3.52894086e+01
0.36           	back	1.53521450e+02	4.03280245e+03	7.72620534e+02
0.36           	bottom	1.63914101e+01	4.96043580e+03	1.95013544e+03
0.36           	top	0.00000000e+00	2.52302520e+02	4.02597446e+01
0.36           	front	1.53519591e+02	4.03238098e+03	7.72615649e+02
0.38           	left	1.49723921e+02	1.71031207e+02	1.66737726e+02
0.38           	right	1.57768878e+02	2.49439209e+03	1.41103788e+03
0.38           	stlSurface	1.41999494e+01	9.54564642e+01	3.73348529e+01
0.38           	back	1.49614937e+02	4.08610528e+03	7.65975748e+02
0.38           	bottom	1.57876504e+01	5.02025161e+03	2.01446032e+03
0.38           	top	0.00000000e+00	2.39912832e+02	4.07645747e+01
0.38           	front	1.49613090e+02	4.08565709e+03	7.65971676e+02
0.4            	left	1.46017888e+02	1.68517131e+02	1.63998525e+02
0.4            	right	1.54617888e+02	2.45056077e+03	1.38194043e+03
0.4            	stlSurface	1.37027592e+01	1.16171363e+02	4.27587142e+01
0.4            	back	1.45911569e+02	4.14061043e+03	7.58411959e+02
0.4            	bottom	1.52348693e+01	5.10187957e+03	2.06959430e+03
0.4            	top	0.00000000e+00	2.30066816e+02	3.90278892e+01
0.4            	front	1.45909801e+02	4.14022673e+03	7.58408809e+02
0.42           	left	1.42501840e+02	1.66199858e+02	1.61454310e+02
0.42           	right	1.51691825e+02	2.40906902e+03	1.35257366e+03
0.42           	stlSurface	1.32468010e+01	1.79434420e+02	5.69100431e+01
0.42           	back	1.42398010e+02	4.19550425e+03	7.55221554e+02
0.42           	bottom	1.47279302e+01	5.15896372e+03	2.16549937e+03
0.42           	top	0.00000000e+00	2.46447668e+02	3.79029194e+01
0.42           	front	1.42396355e+02	4.19512395e+03	7.55215801e+02
0.44           	left	1.39163614e+02	1.64068943e+02	1.59087299e+02
0.44           	right	1.48984619e+02	2.36975771e+03	1.32043391e+03
0.44           	stlSurface	1.28273390e+01	1.28070020e+03	1.42853706e+02
0.44           	back	1.39062149e+02	4.20956472e+03	7.50234895e+02
0.44           	bottom	1.42615681e+01	5.22077025e+03	2.27933601e+03
0.44           	top	0.00000000e+00	2.33600602e+02	3.97715782e+01
0.44           	front	1.39060600e+02	4.20922318e+03	7.50229117e+02
0.46           	left	1.35991331e+02	1.62103126e+02	1.56871624e+02
0.46           	right	1.46490647e+02	2.33247779e+03	1.27556768e+03
0.46           	stlSurface	1.24436945e+01	3.62858604e+03	6.01215540e+02
0.46           	back	1.35892119e+02	4.28418105e+03	7.44603089e+02
0.46           	bottom	1.38350281e+01	5.28190007e+03	2.33795294e+03
0.46           	top	0.00000000e+00	2.24434430e+02	3.86767884e+01
0.46           	front	1.35890666e+02	4.28389565e+03	7.44596497e+02
0.48           	left	1.32977467e+02	1.60291574e+02	1.54790858e+02
0.48           	right	1.41867361e+02	2.29708891e+03	1.19043541e+03
0.48           	stlSurface	1.21283934e+01	3.76398889e+03	6.54895356e+02
0.48           	back	1.32880387e+02	4.35970713e+03	7.40997538e+02
0.48           	bottom	1.34844731e+01	5.39281177e+03	2.39297026e+03
0.48           	top	0.00000000e+00	2.17721221e+02	3.79282543e+01
0.48           	front	1.32879033e+02	4.35944313e+03	7.40988864e+02
0.5            	left	1.30117378e+02	1.58623958e+02	1.52816052e+02
0.5            	right	1.39988399e+02	2.26329966e+03	1.17103578e+03
0.5            	stlSurface	1.19493531e+01	3.88649679e+03	6.96950808e+02
0.5            	back	1.30022324e+02	4.42778102e+03	7.40094053e+02
0.5            	bottom	1.32854142e+01	5.43406470e+03	2.42117428e+03
0.5            	top	0.00000000e+00	2.13064808e+02	3.74360378e+01
0.5            	front	1.30021061e+02	4.42754721e+03	7.40084078e+02
0.52           	left	1.27416394e+02	1.57088550e+02	1.50928853e+02
0.52           	right	1.38221137e+02	2.23081557e+03	1.15223065e+03
0.52           	stlSurface	1.19796240e+01	4.18269295e+03	7.89052764e+02
0.52           	back	1.27323220e+02	4.48923206e+03	7.39071779e+02
0.52           	bottom	1.33190698e+01	5.44277716e+03	2.45393007e+03
0.52           	top	0.00000000e+00	2.31761060e+02	4.08195361e+01
0.52           	front	1.27322076e+02	4.48902841e+03	7.39059875e+02
0.54           	left	1.24890015e+02	1.55650512e+02	1.49125685e+02
0.54           	right	1.36559599e+02	2.19942848e+03	1.13368418e+03
0.54           	stlSurface	1.22055434e+01	4.20172478e+03	8.39827935e+02
0.54           	back	1.24798719e+02	4.54237275e+03	7.38902093e+02
0.54           	bottom	1.35702493e+01	5.90797562e+03	2.48446751e+03
0.54           	top	0.00000000e+00	2.21864949e+02	4.13752634e+01
0.54           	front	1.24797567e+02	4.54219075e+03	7.38894203e+02
0.56           	left	1.22579409e+02	1.54369669e+02	1.47409883e+02
0.56           	right	1.34998572e+02	2.16892229e+03	1.11471623e+03
0.56           	stlSurface	1.26579386e+01	3.85195381e+03	8.15957620e+02
0.56           	back	1.22489839e+02	4.59344864e+03	7.38221535e+02
0.56           	bottom	1.40732269e+01	6.47093461e+03	2.52202863e+03
0.56           	top	0.00000000e+00	2.14980055e+02	4.18873312e+01
0.56           	front	1.22488672e+02	4.59326974e+03	7.38214406e+02
0.58           	left	1.20591026e+02	1.53171068e+02	1.45810279e+02
0.58           	right	1.33531108e+02	2.13899894e+03	1.09348363e+03
0.58           	stlSurface	1.34653094e+01	3.60074574e+03	7.84437020e+02
0.58           	back	1.20503087e+02	4.65131572e+03	7.37659630e+02
0.58           	bottom	1.49708701e+01	7.32009346e+03	2.56753192e+03
0.58           	top	0.00000000e+00	2.09770069e+02	4.23936959e+01
0.58           	front	1.20501761e+02	4.65115431e+03	7.37649279e+02
0.6            	left	1.19413260e+02	1.52138290e+02	1.44429895e+02
0.6            	right	1.32152708e+02	2.10971321e+03	1.06238924e+03
0.6            	stlSurface	1.48175293e+01	3.43026373e+03	7.51662657e+02
0.6            	back	1.19327836e+02	4.69484969e+03	7.35127963e+02
0.6            	bottom	1.64742822e+01	8.12577875e+03	2.60097846e+03
0.6            	top	0.00000000e+00	2.24166314e+02	4.54148373e+01
0.6            	front	1.19324867e+02	4.69469407e+03	7.35117837e+02
0.62           	left	1.17708076e+02	1.57590395e+02	1.43767824e+02
0.62           	right	1.27360861e+02	2.08408647e+03	9.80836786e+02
0.62           	stlSurface	1.69780698e+01	3.30716261e+03	7.04472792e+02
0.62           	back	1.24170939e+02	4.72924962e+03	7.35216423e+02
0.62           	bottom	1.88763934e+01	7.75313902e+03	2.63056482e+03
0.62           	top	0.00000000e+00	2.15601823e+02	4.53614541e+01
0.62           	front	1.24167813e+02	4.72908200e+03	7.35203569e+02
0.64           	left	1.16157456e+02	2.33144624e+02	1.47060689e+02
0.64           	right	1.26509563e+02	2.05955730e+03	9.67918545e+02
0.64           	stlSurface	2.01675145e+01	3.21450401e+03	6.66126110e+02
0.64           	back	1.24342647e+02	4.77589534e+03	7.38875647e+02
0.64           	bottom	2.24224511e+01	8.35295750e+03	2.65350496e+03
0.64           	top	0.00000000e+00	2.28425830e+02	4.81895168e+01
0.64           	front	1.24341737e+02	4.77559817e+03	7.38861426e+02
0.66           	left	1.17054523e+02	2.21383089e+03	2.23043394e+02
0.66           	right	1.25699331e+02	2.03584250e+03	9.55105575e+02
0.66           	stlSurface	2.43015520e+01	3.13495074e+03	6.35355425e+02
0.66           	back	1.23060170e+02	4.82091793e+03	7.43454931e+02
0.66           	bottom	2.70187166e+01	8.30658777e+03	2.67859457e+03
0.66           	top	0.00000000e+00	2.18028034e+02	4.79179512e+01
0.66           	front	1.23059105e+02	4.82056171e+03	7.43434509e+02
0.68           	left	1.22091774e+02	5.97086530e+03	5.09067056e+02
0.68           	right	1.24923056e+02	2.01276375e+03	9.41938028e+02
0.68           	stlSurface	2.89272910e+01	3.06478587e+03	6.02571460e+02
0.68           	back	1.21740175e+02	4.85044719e+03	7.52088951e+02
0.68           	bottom	3.21616610e+01	7.89527874e+03	2.68974140e+03
0.68           	top	0.00000000e+00	2.28079276e+02	5.04233722e+01
0.68           	front	1.21739109e+02	4.85000822e+03	7.52051069e+02
0.7            	left	1.20841126e+02	6.78451195e+03	7.64369725e+02
0.7            	right	1.24174737e+02	1.99010489e+03	9.27267519e+02
0.7            	stlSurface	3.32550680e+01	3.00770751e+03	5.73160270e+02
0.7            	back	1.20460033e+02	4.86891939e+03	7.63078106e+02
0.7            	bottom	3.69733282e+01	7.83051131e+03	2.68747426e+03
0.7            	top	0.00000000e+00	2.37542410e+02	5.06034776e+01
0.7            	front	1.20459026e+02	4.86837920e+03	7.63033005e+02
0.72           	left	1.19648443e+02	7.28739588e+03	1.06027163e+03
0.72           	right	1.23444657e+02	1.96751171e+03	9.07039835e+02
0.72           	stlSurface	3.67715671e+01	2.96384444e+03	5.62639211e+02
0.72           	back	1.19253808e+02	4.87718324e+03	7.72405247e+02
0.72           	bottom	4.08830082e+01	7.84835752e+03	2.67149349e+03
0.72           	top	0.00000000e+00	2.24000030e+02	5.19894549e+01
0.72           	front	1.19252781e+02	4.87653721e+03	7.72356237e+02
0.74           	left	1.18548972e+02	7.55127527e+03	1.40080790e+03
0.74           	right	1.22724315e+02	1.94430592e+03	8.50536727e+02
0.74           	stlSurface	3.94281931e+01	2.93377722e+03	5.55257929e+02
0.74           	back	1.18148662e+02	4.85526717e+03	7.79099209e+02
0.74           	bottom	4.38366725e+01	7.85900611e+03	2.64771256e+03
0.74           	top	0.00000000e+00	2.33313259e+02	5.30403342e+01
0.74           	front	1.18147441e+02	4.85455094e+03	7.79036282e+02
0.76           	left	1.17568021e+02	7.67829824e+03	1.79118997e+03
0.76           	right	1.17989487e+02	1.91792191e+03	8.16195627e+02
0.76           	stlSurface	4.13654961e+01	2.91185528e+03	5.47276778e+02
0.76           	back	1.17171316e+02	4.79568744e+03	7.92292387e+02
0.76           	bottom	4.59905860e+01	7.80265653e+03	2.62721031e+03
0.76           	top	0.00000000e+00	2.21309021e+02	5.33318590e+01
0.76           	front	1.17169812e+02	4.79372066e+03	7.92206615e+02
0.78           	left	1.16773796e+02	7.72340047e+03	2.15054710e+03
0.78           	right	1.17698027e+02	1.89934173e+03	8.07055819e+02
0.78           	stlSurface	4.25284014e+01	2.89659413e+03	5.40241754e+02
0.78           	back	1.16380135e+02	5.28408004e+03	8.02236317e+02
0.78           	bottom	4.72835162e+01	7.74195722e+03	2.59423291e+03
0.78           	top	0.00000000e+00	2.34241840e+02	5.35102477e+01
0.78           	front	1.16378277e+02	5.28274538e+03	8.02137731e+02
0.8            	left	1.16241906e+02	7.72073778e+03	2.47752907e+03
0.8            	right	1.17386605e+02	1.88130983e+03	7.97610125e+02
0.8            	stlSurface	4.30003182e+01	2.88492039e+03	5.35546330e+02
0.8            	back	1.15850814e+02	5.64185507e+03	8.12878174e+02
0.8            	bottom	4.78081981e+01	7.63498890e+03	2.55591388e+03
0.8            	top	0.00000000e+00	2.27838759e+02	5.30687424e+01
0.8            	front	1.15848189e+02	5.64074190e+03	8.12806108e+02
0.82           	left	1.16462005e+02	7.73431196e+03	2.76629724e+03
