# y+ ()        
# Time         	patch          	min            	max            	average        
1.94           	front	7.12608515e+01	5.56099910e+03	9.37283640e+02
1.96           	left	2.27810883e+02	4.67457298e+03	1.90266952e+03
1.96           	right	7.14210315e+01	1.13123272e+03	2.49750203e+02
1.96           	stlSurface	2.79022417e+02	2.36784378e+03	1.00084625e+03
1.96           	back	7.09493335e+01	5.46081747e+03	9.27685987e+02
1.96           	bottom	3.09713457e+02	6.92065182e+03	2.13444180e+03
1.96           	top	0.00000000e+00	5.74556633e+02	8.23234432e+01
1.96           	front	7.09491487e+01	5.46488391e+03	9.27383529e+02
1.98           	left	2.24559717e+02	4.65719750e+03	1.87275426e+03
1.98           	right	7.11049684e+01	1.12464092e+03	2.48225637e+02
1.98           	stlSurface	2.73127025e+02	2.32699761e+03	9.91390774e+02
1.98           	back	7.06353810e+01	5.32293508e+03	9.19923526e+02
1.98           	bottom	3.03169602e+02	6.79994778e+03	2.11528479e+03
1.98           	top	0.00000000e+00	6.66941355e+02	8.10360328e+01
1.98           	front	7.06351739e+01	5.36056015e+03	9.19777799e+02
2              	left	2.21260050e+02	4.57911749e+03	1.84212641e+03
2              	right	7.07839251e+01	1.11801341e+03	2.46709484e+02
2              	stlSurface	2.67223899e+02	2.30372058e+03	9.82356784e+02
2              	back	7.03164779e+01	5.35622460e+03	9.11916036e+02
2              	bottom	2.96617162e+02	6.67505794e+03	2.09603673e+03
2              	top	0.00000000e+00	6.79865198e+02	8.07773744e+01
2              	front	7.03162517e+01	5.38595274e+03	9.12893904e+02
2.02           	left	2.17961167e+02	4.45941524e+03	1.80119483e+03
2.02           	right	7.04565415e+01	1.11132269e+03	2.45200220e+02
2.02           	stlSurface	2.61329715e+02	2.29428956e+03	9.73970177e+02
2.02           	back	6.99912752e+01	5.39090663e+03	9.01654940e+02
2.02           	bottom	2.90074649e+02	6.56151159e+03	2.07687071e+03
2.02           	top	0.00000000e+00	6.30850540e+02	7.87420172e+01
2.02           	front	6.99910312e+01	5.41552408e+03	9.01690205e+02
2.04           	left	2.16612532e+02	4.41156968e+03	1.76460211e+03
2.04           	right	7.01218430e+01	1.10454162e+03	2.43694576e+02
2.04           	stlSurface	2.55463501e+02	2.28271992e+03	9.66381207e+02
2.04           	back	6.96588014e+01	5.38606090e+03	8.91910083e+02
2.04           	bottom	2.83563181e+02	6.45669018e+03	2.05793229e+03
2.04           	top	0.00000000e+00	5.89841051e+02	7.78132876e+01
2.04           	front	6.96585440e+01	5.43991941e+03	8.89798691e+02
2.06           	left	2.24541404e+02	4.36453222e+03	1.67962051e+03
2.06           	right	6.97797182e+01	1.09764351e+03	2.42191868e+02
2.06           	stlSurface	2.49636208e+02	2.27312813e+03	9.59623782e+02
2.06           	back	6.93189512e+01	5.40172911e+03	8.77735055e+02
2.06           	bottom	2.77094915e+02	6.35745928e+03	2.03940259e+03
2.06           	top	0.00000000e+00	5.52975713e+02	7.57009251e+01
2.06           	front	6.93186796e+01	5.45195736e+03	8.75101036e+02
2.08           	left	2.24722312e+02	4.31689348e+03	1.62907384e+03
2.08           	right	6.94303298e+01	1.09060212e+03	2.40689545e+02
2.08           	stlSurface	2.43857426e+02	2.26083466e+03	9.53570379e+02
2.08           	back	6.89718824e+01	5.40357973e+03	8.61076895e+02
2.08           	bottom	2.70680497e+02	6.26207053e+03	2.02142607e+03
2.08           	top	0.00000000e+00	5.19647885e+02	7.60173931e+01
2.08           	front	6.89715997e+01	5.47005445e+03	8.60198487e+02
2.1            	left	2.30619060e+02	4.26901997e+03	1.60037033e+03
2.1            	right	6.90741457e+01	1.08339209e+03	2.39187248e+02
2.1            	stlSurface	2.38138372e+02	2.24637256e+03	9.48036507e+02
2.1            	back	6.86180637e+01	5.49609556e+03	8.56594138e+02
2.1            	bottom	2.64332376e+02	6.16873712e+03	2.00413128e+03
2.1            	top	0.00000000e+00	5.23363156e+02	7.41835882e+01
2.1            	front	6.86177689e+01	5.49777587e+03	8.59758782e+02
2.12           	left	2.27339127e+02	4.23552743e+03	1.57818808e+03
2.12           	right	6.87116657e+01	1.07598786e+03	2.37682679e+02
2.12           	stlSurface	2.32486828e+02	2.23010401e+03	9.42818092e+02
2.12           	back	6.82579890e+01	5.61026190e+03	8.56822873e+02
2.12           	bottom	2.58059192e+02	6.07629456e+03	1.98759450e+03
2.12           	top	0.00000000e+00	4.80341481e+02	7.40616518e+01
2.12           	front	6.82576838e+01	5.53218881e+03	8.61125813e+02
2.14           	left	2.24009649e+02	4.17349825e+03	1.54886537e+03
2.14           	right	6.83435681e+01	1.06836239e+03	2.36174291e+02
2.14           	stlSurface	2.26910435e+02	2.21197755e+03	9.37633764e+02
2.14           	back	6.78923331e+01	5.73696767e+03	8.60029331e+02
2.14           	bottom	2.51869423e+02	5.98374220e+03	1.97187008e+03
2.14           	top	0.00000000e+00	4.50439409e+02	7.32742986e+01
2.14           	front	6.78920183e+01	5.56178351e+03	8.63385171e+02
2.16           	left	2.20892829e+02	4.12601189e+03	1.51790034e+03
2.16           	right	6.79705515e+01	1.06048593e+03	2.34660283e+02
2.16           	stlSurface	2.21419513e+02	2.19207278e+03	9.32210005e+02
2.16           	back	6.75217946e+01	5.79652746e+03	8.62381937e+02
2.16           	bottom	2.45774528e+02	5.89000158e+03	1.95703594e+03
2.16           	top	0.00000000e+00	5.31582745e+02	7.51284761e+01
2.16           	front	6.75214662e+01	5.59391707e+03	8.64452012e+02
2.18           	left	2.17979343e+02	4.07868103e+03	1.48210190e+03
2.18           	right	6.75932924e+01	1.05232454e+03	2.33138446e+02
2.18           	stlSurface	2.16026834e+02	2.17210864e+03	9.26330276e+02
2.18           	back	6.71470367e+01	5.80904126e+03	8.64461760e+02
2.18           	bottom	2.39788682e+02	5.79447021e+03	1.94315174e+03
2.18           	top	0.00000000e+00	4.89042102e+02	7.45347848e+01
2.18           	front	6.71466997e+01	5.65411214e+03	8.64143491e+02
2.2            	left	2.15263610e+02	4.03147788e+03	1.46553872e+03
2.2            	right	6.72124878e+01	1.04383880e+03	2.31606539e+02
2.2            	stlSurface	2.10738232e+02	2.15064576e+03	9.19862611e+02
2.2            	back	6.67687591e+01	5.79509447e+03	8.66411204e+02
2.2            	bottom	2.33918361e+02	5.69685345e+03	1.93023500e+03
2.2            	top	0.00000000e+00	5.36246804e+02	7.43399607e+01
2.2            	front	6.67684111e+01	5.68960846e+03	8.68830021e+02
2.22           	left	2.12734954e+02	3.98436400e+03	1.44792263e+03
2.22           	right	6.68287832e+01	1.03498248e+03	2.30061843e+02
2.22           	stlSurface	2.05557758e+02	2.12726215e+03	9.12718303e+02
2.22           	back	6.63876003e+01	5.82742187e+03	8.66109193e+02
2.22           	bottom	2.28168061e+02	5.59624085e+03	1.91831264e+03
2.22           	top	0.00000000e+00	5.09752111e+02	7.39614889e+01
2.22           	front	6.63872417e+01	5.70841628e+03	8.69637970e+02
2.24           	left	2.10376145e+02	3.93723478e+03	1.42821456e+03
2.24           	right	6.64427544e+01	1.02570173e+03	2.28501445e+02
2.24           	stlSurface	2.00485523e+02	2.10298793e+03	9.04862747e+02
2.24           	back	6.60041315e+01	5.81389202e+03	8.66164705e+02
2.24           	bottom	2.22537906e+02	5.49069884e+03	1.90731179e+03
2.24           	top	0.00000000e+00	5.29098755e+02	7.17520993e+01
2.24           	front	6.60037633e+01	5.72383859e+03	8.67162011e+02
2.26           	left	2.08173458e+02	3.89002853e+03	1.40386120e+03
2.26           	right	6.60548520e+01	1.01593360e+03	2.26921136e+02
2.26           	stlSurface	1.95520675e+02	2.07756273e+03	8.96340168e+02
2.26           	back	6.56188022e+01	5.76728917e+03	8.68730701e+02
2.26           	bottom	2.17026950e+02	5.37935937e+03	1.89713970e+03
2.26           	top	0.00000000e+00	5.03572755e+02	7.08328587e+01
2.26           	front	6.56184238e+01	5.76938468e+03	8.67638749e+02
2.28           	left	2.06112169e+02	3.84271223e+03	1.36621311e+03
2.28           	right	6.56655032e+01	1.00560455e+03	2.25317184e+02
2.28           	stlSurface	1.90662898e+02	2.05092367e+03	8.87241192e+02
2.28           	back	6.52320344e+01	5.71399133e+03	8.66893293e+02
2.28           	bottom	2.11634843e+02	5.26643463e+03	1.88771450e+03
2.28           	top	0.00000000e+00	4.61876326e+02	7.20361235e+01
2.28           	front	6.52316475e+01	5.78897509e+03	8.65031241e+02
2.3            	left	2.04179653e+02	3.79528149e+03	1.31355287e+03
2.3            	right	6.52749145e+01	9.94628741e+02	2.23684072e+02
2.3            	stlSurface	1.85912989e+02	2.02333892e+03	8.77708587e+02
2.3            	back	6.48440310e+01	5.67325148e+03	8.66983466e+02
2.3            	bottom	2.06362468e+02	5.15153537e+03	1.87900932e+03
2.3            	top	0.00000000e+00	4.46892434e+02	7.14949287e+01
2.3            	front	6.48436394e+01	5.77211521e+03	8.62433600e+02
2.32           	left	2.02272465e+02	3.74776307e+03	1.26673202e+03
2.32           	right	6.48832849e+01	9.82905779e+02	2.22016882e+02
2.32           	stlSurface	1.81291273e+02	1.99457175e+03	8.67898200e+02
2.32           	back	6.44549941e+01	5.59233787e+03	8.65725230e+02
2.32           	bottom	2.01232386e+02	5.03362784e+03	1.87095781e+03
2.32           	top	0.00000000e+00	4.22434972e+02	7.00843819e+01
2.32           	front	6.44545974e+01	5.72400535e+03	8.64010999e+02
2.34           	left	1.99487577e+02	3.70011802e+03	1.21766057e+03
2.34           	right	6.44906368e+01	9.70317952e+02	2.20309042e+02
2.34           	stlSurface	1.76795443e+02	1.96752914e+03	8.57969604e+02
2.34           	back	6.40649361e+01	5.48317838e+03	8.63823853e+02
2.34           	bottom	1.96242039e+02	4.96170475e+03	1.86348012e+03
2.34           	top	0.00000000e+00	3.91368634e+02	6.84707696e+01
2.34           	front	6.40645435e+01	5.64914291e+03	8.62975379e+02
2.36           	left	1.96755377e+02	3.65231780e+03	1.19152754e+03
2.36           	right	6.40968843e+01	9.56727471e+02	2.18519373e+02
2.36           	stlSurface	1.72420913e+02	1.94293735e+03	8.48056463e+02
2.36           	back	6.36737792e+01	5.35392592e+03	8.65682761e+02
2.36           	bottom	1.91386332e+02	4.88544507e+03	1.85652685e+03
2.36           	top	0.00000000e+00	4.02427207e+02	6.67130694e+01
2.36           	front	6.36733926e+01	5.55132819e+03	8.64674362e+02
2.38           	left	1.94114163e+02	3.60432290e+03	1.17850963e+03
2.38           	right	6.37017591e+01	9.41971900e+02	2.16666444e+02
2.38           	stlSurface	1.68161969e+02	1.91919578e+03	8.38295372e+02
2.38           	back	6.32812538e+01	5.20962944e+03	8.64603729e+02
2.38           	bottom	1.86658927e+02	4.80528173e+03	1.85010286e+03
2.38           	top	0.00000000e+00	4.54915090e+02	6.63090958e+01
2.38           	front	6.32808780e+01	5.43366496e+03	8.64257274e+02
2.4            	left	1.90993319e+02	3.55610517e+03	1.16551505e+03
2.4            	right	6.33045388e+01	9.25857832e+02	2.14515002e+02
2.4            	stlSurface	1.64015551e+02	1.89632579e+03	8.28739621e+02
2.4            	back	6.28866410e+01	5.06551681e+03	8.63950386e+02
2.4            	bottom	1.82056424e+02	4.72178538e+03	1.84423566e+03
2.4            	top	0.00000000e+00	4.21869580e+02	6.37057730e+01
2.4            	front	6.28862821e+01	5.30579478e+03	8.64281165e+02
2.42           	left	1.87785094e+02	3.50764618e+03	1.15255043e+03
2.42           	right	6.29043816e+01	9.08151775e+02	2.12186941e+02
2.42           	stlSurface	1.59984866e+02	1.87432159e+03	8.19414121e+02
2.42           	back	6.24891120e+01	4.93873470e+03	8.61978912e+02
2.42           	bottom	1.77582384e+02	4.63558463e+03	1.83891019e+03
2.42           	top	0.00000000e+00	4.23105903e+02	6.24813016e+01
2.42           	front	6.24887688e+01	5.17305798e+03	8.64094648e+02
2.44           	left	1.84673109e+02	3.46237652e+03	1.13962552e+03
2.44           	right	6.25003067e+01	9.03695565e+02	2.09817764e+02
2.44           	stlSurface	1.56070954e+02	1.85301082e+03	8.10301623e+02
2.44           	back	6.20876855e+01	4.85192678e+03	8.59877061e+02
2.44           	bottom	1.73237962e+02	4.54727087e+03	1.83407902e+03
2.44           	top	0.00000000e+00	3.93505290e+02	6.14372173e+01
2.44           	front	6.20873637e+01	5.01662330e+03	8.61939941e+02
2.46           	left	1.81752700e+02	3.41835333e+03	1.12674297e+03
2.46           	right	6.20912375e+01	8.99567345e+02	2.07388546e+02
2.46           	stlSurface	1.52276458e+02	1.83240782e+03	8.01350068e+02
2.46           	back	6.16812982e+01	4.76026006e+03	8.57515695e+02
2.46           	bottom	1.69026090e+02	4.45763699e+03	1.82969356e+03
2.46           	top	0.00000000e+00	3.69581267e+02	6.06058657e+01
2.46           	front	6.16809972e+01	4.89485864e+03	8.59285310e+02
2.48           	left	1.79050852e+02	3.37421197e+03	1.11390365e+03
2.48           	right	6.16760662e+01	8.95481082e+02	2.04876113e+02
2.48           	stlSurface	1.48602548e+02	1.81241229e+03	7.92510859e+02
2.48           	back	6.12688608e+01	4.65761742e+03	8.52163333e+02
2.48           	bottom	1.64948069e+02	4.37560475e+03	1.82576458e+03
2.48           	top	0.00000000e+00	3.49408424e+02	6.10447455e+01
2.48           	front	6.12685689e+01	4.79940015e+03	8.55883759e+02
2.5            	left	1.76582320e+02	3.33004787e+03	1.10109690e+03
2.5            	right	6.12542714e+01	8.91431033e+02	2.02250860e+02
2.5            	stlSurface	1.45052297e+02	1.79310718e+03	7.83786749e+02
2.5            	back	6.08498357e+01	4.56746449e+03	8.51652332e+02
2.5            	bottom	1.61007309e+02	4.29281253e+03	1.82229625e+03
2.5            	top	0.00000000e+00	3.52029363e+02	6.16360212e+01
2.5            	front	6.08495610e+01	4.69977483e+03	8.55799014e+02
2.52           	left	1.74329591e+02	3.28592365e+03	1.08829876e+03
2.52           	right	6.08250356e+01	8.87412122e+02	1.99474125e+02
2.52           	stlSurface	1.41633124e+02	1.77429316e+03	7.75176762e+02
2.52           	back	6.04233972e+01	4.49274177e+03	8.50296793e+02
2.52           	bottom	1.57212044e+02	4.20898352e+03	1.81930117e+03
2.52           	top	0.00000000e+00	3.28271537e+02	6.15632022e+01
2.52           	front	6.04231612e+01	4.60666621e+03	8.54034899e+02
2.54           	left	1.72266203e+02	3.24191371e+03	1.07554244e+03
2.54           	right	6.03879571e+01	8.83418967e+02	1.96494745e+02
2.54           	stlSurface	1.38345026e+02	1.75552814e+03	7.66706177e+02
2.54           	back	5.99891565e+01	4.45790449e+03	8.45792747e+02
2.54           	bottom	1.53562271e+02	4.12537124e+03	1.81679817e+03
2.54           	top	0.00000000e+00	3.09128678e+02	6.19023137e+01
2.54           	front	5.99889704e+01	4.52281224e+03	8.51304758e+02
2.56           	left	1.70365952e+02	3.19812712e+03	1.06280511e+03
2.56           	right	5.99431317e+01	8.79446040e+02	1.93241448e+02
2.56           	stlSurface	1.35190605e+02	1.73658789e+03	7.58415460e+02
2.56           	back	5.95472328e+01	4.41286128e+03	8.37149295e+02
2.56           	bottom	1.50060880e+02	4.04284180e+03	1.81478797e+03
2.56           	top	0.00000000e+00	3.05362173e+02	6.13540707e+01
2.56           	front	5.95470840e+01	4.45444988e+03	8.45143430e+02
2.58           	left	1.68607078e+02	3.15465224e+03	1.04990997e+03
2.58           	right	5.94889057e+01	8.75488303e+02	1.89612169e+02
2.58           	stlSurface	1.32169699e+02	1.71733910e+03	7.50351100e+02
2.58           	back	5.90959807e+01	4.38755052e+03	8.26518541e+02
2.58           	bottom	1.46707691e+02	4.01747664e+03	1.81327749e+03
2.58           	top	0.00000000e+00	3.16254952e+02	6.09161819e+01
2.58           	front	5.90958592e+01	4.41102526e+03	8.31615361e+02
2.6            	left	1.66975930e+02	3.11156181e+03	1.03678299e+03
2.6            	right	5.90248559e+01	8.71546446e+02	1.85462700e+02
2.6            	stlSurface	1.29278349e+02	1.69772385e+03	7.42533586e+02
2.6            	back	5.86349819e+01	4.34497286e+03	8.20010676e+02
2.6            	bottom	1.43498307e+02	3.99713011e+03	1.81227087e+03
2.6            	top	0.00000000e+00	3.25294024e+02	6.11291814e+01
2.6            	front	5.86348754e+01	4.35988604e+03	8.22941916e+02
2.62           	left	1.65462778e+02	3.06892409e+03	1.02332604e+03
2.62           	right	5.85533752e+01	8.67642743e+02	1.80578230e+02
2.62           	stlSurface	1.26512819e+02	1.67777773e+03	7.34980669e+02
2.62           	back	5.81666057e+01	4.32047308e+03	8.18369568e+02
2.62           	bottom	1.40428583e+02	3.97411853e+03	1.81177507e+03
2.62           	top	0.00000000e+00	3.53360322e+02	6.21211544e+01
2.62           	front	5.81665098e+01	4.32076110e+03	8.22141174e+02
2.64           	left	1.64068288e+02	3.02670283e+03	1.00927265e+03
2.64           	right	5.80825881e+01	8.63805016e+02	1.74546466e+02
2.64           	stlSurface	1.23868896e+02	1.65758686e+03	7.27694161e+02
2.64           	back	5.76989241e+01	4.28759626e+03	8.15031216e+02
2.64           	bottom	1.37493841e+02	3.94842333e+03	1.81178827e+03
2.64           	top	0.00000000e+00	3.42406758e+02	6.23882462e+01
2.64           	front	5.76988332e+01	4.28040864e+03	8.18953073e+02
2.66           	left	1.62825981e+02	2.98493986e+03	9.94147059e+02
2.66           	right	5.76181600e+01	8.60064656e+02	1.66602288e+02
2.66           	stlSurface	1.21341161e+02	1.63729872e+03	7.20668432e+02
2.66           	back	5.72375397e+01	4.26200213e+03	8.12464249e+02
2.66           	bottom	1.34688069e+02	3.92044072e+03	1.81232197e+03
2.66           	top	0.00000000e+00	3.32276757e+02	6.21597289e+01
2.66           	front	5.72374736e+01	4.25778789e+03	8.16229184e+02
2.68           	left	1.61739881e+02	2.94374021e+03	9.76960512e+02
2.68           	right	5.30422871e+01	8.56449840e+02	1.57006476e+02
2.68           	stlSurface	1.18925366e+02	1.62006504e+03	7.13892670e+02
2.68           	back	5.26920126e+01	4.23989707e+03	8.05303975e+02
2.68           	bottom	1.32006548e+02	3.89050158e+03	1.81338352e+03
2.68           	top	0.00000000e+00	3.22801201e+02	6.15651496e+01
2.68           	front	5.26917287e+01	4.22584018e+03	8.10559001e+02
2.7            	left	1.60807257e+02	2.90316327e+03	9.54988060e+02
2.7            	right	5.27277911e+01	8.52976638e+02	1.55734150e+02
2.7            	stlSurface	1.16617187e+02	1.60266807e+03	7.07369150e+02
2.7            	back	5.23796538e+01	4.21433031e+03	7.90812975e+02
2.7            	bottom	1.29444482e+02	3.85890351e+03	1.81496682e+03
2.7            	top	0.00000000e+00	3.13952387e+02	6.16942259e+01
2.7            	front	5.23793112e+01	4.20707196e+03	7.95971463e+02
2.72           	left	1.60053249e+02	2.86323131e+03	9.28135987e+02
2.72           	right	5.23925372e+01	8.49630102e+02	1.54808681e+02
2.72           	stlSurface	1.14410324e+02	1.58499860e+03	7.01095817e+02
2.72           	back	5.20466467e+01	4.19982611e+03	7.74408718e+02
2.72           	bottom	1.26994875e+02	3.82591768e+03	1.81704366e+03
2.72           	top	0.00000000e+00	3.05403979e+02	6.09712426e+01
2.72           	front	5.20462730e+01	4.18171698e+03	7.79319283e+02
2.74           	left	1.59510734e+02	2.82395488e+03	9.01961203e+02
2.74           	right	5.20778860e+01	8.46309114e+02	1.53936430e+02
2.74           	stlSurface	1.12298584e+02	1.56720497e+03	6.95064661e+02
2.74           	back	5.17341701e+01	4.17524928e+03	7.67871870e+02
2.74           	bottom	1.24650855e+02	3.79180929e+03	1.81958348e+03
2.74           	top	0.00000000e+00	2.97031722e+02	6.18542678e+01
2.74           	front	5.17337013e+01	4.16593675e+03	7.70917941e+02
2.76           	left	1.59188289e+02	2.78532380e+03	8.72711004e+02
2.76           	right	5.17757944e+01	8.43010252e+02	1.53119617e+02
2.76           	stlSurface	1.10275632e+02	1.54942715e+03	6.89256778e+02
2.76           	back	5.14342529e+01	4.16370373e+03	7.64743308e+02
2.76           	bottom	1.22405388e+02	3.75682261e+03	1.82256011e+03
2.76           	top	0.00000000e+00	2.88646022e+02	6.14039075e+01
2.76           	front	5.14336063e+01	4.14398373e+03	7.67933480e+02
2.78           	left	1.56601005e+02	2.74735458e+03	8.40939960e+02
2.78           	right	5.14828231e+01	8.39737588e+02	1.52354663e+02
2.78           	stlSurface	1.08335060e+02	1.53178403e+03	6.83681467e+02
2.78           	back	5.11433823e+01	4.14050025e+03	7.63865367e+02
2.78           	bottom	1.20251364e+02	3.72106741e+03	1.82594357e+03
2.78           	top	0.00000000e+00	2.79818018e+02	6.13389020e+01
2.78           	front	5.11425712e+01	4.13019335e+03	7.66023665e+02
2.8            	left	1.48124150e+02	2.71005383e+03	8.14832067e+02
2.8            	right	5.12002313e+01	8.36492596e+02	1.51640697e+02
2.8            	stlSurface	1.06471192e+02	1.51440390e+03	6.78327092e+02
2.8            	back	5.08626724e+01	4.12932515e+03	7.62326732e+02
2.8            	bottom	1.18182479e+02	3.68463894e+03	1.82970336e+03
2.8            	top	0.00000000e+00	2.87470992e+02	6.14250321e+01
2.8            	front	5.08618471e+01	4.10983087e+03	7.64542778e+02
2.82           	left	1.47971593e+02	2.67337015e+03	8.06156977e+02
2.82           	right	5.09265612e+01	8.33276627e+02	1.50979213e+02
2.82           	stlSurface	1.04678279e+02	1.49741854e+03	6.73184310e+02
2.82           	back	5.05909841e+01	4.10814612e+03	7.62435026e+02
2.82           	bottom	1.16192355e+02	3.64766221e+03	1.83383209e+03
2.82           	top	0.00000000e+00	2.72542578e+02	6.17552747e+01
2.82           	front	5.05899857e+01	4.09709471e+03	7.65242834e+02
2.84           	left	1.47590813e+02	2.63727761e+03	7.97860902e+02
2.84           	right	5.06606932e+01	8.30091733e+02	1.50373338e+02
2.84           	stlSurface	1.02950664e+02	1.48091981e+03	6.68245477e+02
2.84           	back	5.03272218e+01	4.09539398e+03	7.60572174e+02
2.84           	bottom	1.14274711e+02	3.61022822e+03	1.83834573e+03
2.84           	top	0.00000000e+00	2.67589529e+02	6.18444484e+01
2.84           	front	5.03258748e+01	4.07910676e+03	7.63821703e+02
2.86           	left	1.46854154e+02	2.60175577e+03	7.89780775e+02
2.86           	right	5.04027467e+01	8.26940608e+02	1.49828803e+02
2.86           	stlSurface	1.01283153e+02	1.46501632e+03	6.63506271e+02
2.86           	back	5.00718540e+01	4.07591148e+03	7.56600555e+02
2.86           	bottom	1.12423782e+02	3.57481400e+03	1.84323737e+03
2.86           	top	0.00000000e+00	2.64914714e+02	6.15059410e+01
2.86           	front	5.00696331e+01	4.06548896e+03	7.60509392e+02
2.88           	left	1.44610334e+02	2.56667408e+03	7.81911221e+02
2.88           	right	5.01572615e+01	8.23827207e+02	1.49356792e+02
2.88           	stlSurface	9.96708863e+01	1.44982395e+03	6.58971709e+02
2.88           	back	4.98299319e+01	4.06362725e+03	7.50514504e+02
2.88           	bottom	1.10634175e+02	3.53998256e+03	1.84848065e+03
2.88           	top	0.00000000e+00	2.62548355e+02	6.23691799e+01
2.88           	front	4.98257703e+01	4.05138709e+03	7.55875080e+02
2.9            	left	1.42438188e+02	2.53203507e+03	7.74238353e+02
2.9            	right	4.99322985e+01	8.20753992e+02	1.48977181e+02
2.9            	stlSurface	9.81093170e+01	1.43545687e+03	6.54653882e+02
2.9            	back	4.96095557e+01	4.04468957e+03	7.43391995e+02
2.9            	bottom	1.08900841e+02	3.50497470e+03	1.85404758e+03
2.9            	top	0.00000000e+00	2.59900286e+02	6.25359001e+01
2.9            	front	4.96022941e+01	4.03509348e+03	7.46438740e+02
2.92           	left	1.40335146e+02	2.49787314e+03	7.66790077e+02
2.92           	right	4.97390128e+01	8.17721226e+02	1.48723218e+02
2.92           	stlSurface	9.65948992e+01	1.42378082e+03	6.50571282e+02
2.92           	back	4.94234836e+01	4.03493256e+03	7.29966419e+02
2.92           	bottom	1.07219845e+02	3.46988544e+03	1.85993044e+03
2.92           	top	0.00000000e+00	3.49187111e+02	6.33647607e+01
2.92           	front	4.94102858e+01	4.02675307e+03	7.33287867e+02
2.94           	left	1.38299397e+02	2.46420634e+03	7.59536255e+02
2.94           	right	4.96015278e+01	8.14728895e+02	1.48654852e+02
2.94           	stlSurface	9.51242912e+01	1.41749047e+03	6.46741875e+02
2.94           	back	4.92970924e+01	4.02515705e+03	7.20002796e+02
2.94           	bottom	1.05587477e+02	3.43537737e+03	1.86612208e+03
2.94           	top	0.00000000e+00	3.35019223e+02	6.36267454e+01
2.94           	front	4.92737094e+01	4.02231548e+03	7.23526068e+02
2.96           	left	1.36329973e+02	2.44008488e+03	7.52387426e+02
2.96           	right	4.96749568e+01	8.11775225e+02	1.48879900e+02
2.96           	stlSurface	9.36946705e+01	1.41150738e+03	6.43173213e+02
2.96           	back	4.93499031e+01	4.02601295e+03	7.20080489e+02
2.96           	bottom	1.04000606e+02	3.40210646e+03	1.87260576e+03
2.96           	top	0.00000000e+00	3.52891580e+02	6.34379578e+01
2.96           	front	4.93466532e+01	4.02319324e+03	7.21122373e+02
2.98           	left	1.34426415e+02	2.43370615e+03	7.45310471e+02
2.98           	right	5.12971584e+01	8.08853126e+02	1.49598966e+02
2.98           	stlSurface	9.23037549e+01	1.40642540e+03	6.39865010e+02
2.98           	back	5.09581336e+01	4.02923879e+03	7.20695336e+02
2.98           	bottom	1.02456696e+02	3.36875073e+03	1.87937714e+03
2.98           	top	0.00000000e+00	3.44430374e+02	6.25589438e+01
2.98           	front	5.12121045e+01	4.02308954e+03	7.21062670e+02
3              	left	1.32588625e+02	2.42072269e+03	7.38253707e+02
3              	right	5.90644366e+01	8.05936222e+02	1.51257725e+02
3              	stlSurface	9.09495717e+01	1.40310691e+03	6.36809502e+02
3              	back	5.87790597e+01	4.03199745e+03	7.20583842e+02
3              	bottom	1.00953560e+02	3.36300598e+03	1.88643851e+03
3              	top	0.00000000e+00	3.37436983e+02	6.28366039e+01
3              	front	5.86756517e+01	4.02425813e+03	7.22119523e+02
3.02           	left	1.30815368e+02	2.39843581e+03	7.31143179e+02
3.02           	right	5.96473942e+01	8.02936353e+02	1.54910098e+02
3.02           	stlSurface	8.96305032e+01	1.40032158e+03	6.33992186e+02
3.02           	back	5.93560968e+01	4.04426107e+03	7.22461574e+02
3.02           	bottom	9.94894005e+01	3.35696098e+03	1.89381159e+03
3.02           	top	0.00000000e+00	3.30778549e+02	6.25361129e+01
3.02           	front	5.92547721e+01	4.03221894e+03	7.23343910e+02
3.04           	left	1.29105575e+02	2.36317809e+03	7.23874465e+02
3.04           	right	6.01876559e+01	7.99614295e+02	1.63350337e+02
3.04           	stlSurface	8.83449983e+01	1.39806027e+03	6.31388569e+02
3.04           	back	5.99280722e+01	4.04611922e+03	7.22846854e+02
3.04           	bottom	9.80624967e+01	3.35165246e+03	1.90151639e+03
3.04           	top	0.00000000e+00	3.24483876e+02	6.17721413e+01
3.04           	front	5.97917131e+01	4.02900224e+03	7.23153922e+02
3.06           	left	1.27458535e+02	2.32473492e+03	7.16303746e+02
3.06           	right	6.08221711e+01	1.91975065e+03	1.93391685e+02
3.06           	stlSurface	8.70960772e+01	1.39622608e+03	6.28969326e+02
3.06           	back	6.05352873e+01	4.05113073e+03	7.23484349e+02
3.06           	bottom	9.66762007e+01	3.34506651e+03	1.90954770e+03
3.06           	top	0.00000000e+00	3.18579918e+02	6.13371372e+01
3.06           	front	6.04222563e+01	4.03215136e+03	7.23801897e+02
3.08           	left	1.25873478e+02	2.28403678e+03	7.08213433e+02
3.08           	right	6.15357439e+01	3.62277176e+03	2.55730559e+02
3.08           	stlSurface	8.58853540e+01	1.39469975e+03	6.26704608e+02
3.08           	back	6.12237888e+01	4.04671536e+03	7.23644216e+02
3.08           	bottom	9.53323041e+01	3.33768916e+03	1.91787577e+03
3.08           	top	0.00000000e+00	3.12290713e+02	6.06462439e+01
3.08           	front	6.11313194e+01	4.02357455e+03	7.23921053e+02
3.1            	left	1.24349385e+02	2.22865294e+03	6.99254408e+02
